Date : 2026-08-31 22:36:53
Directory : /Users/arjunaravapalli/personalassistant/personalassistant
Total : 1050 files,  1315361 codes, 15754 comments, 35729 blanks, all 1366844 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0006_phase_5_1_human_in_loop_patches.sql                                                                      | MS SQL                  |         41 |          0 |          4 |         45 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0007_phase_5_2_verified_validation.sql                                                                        | MS SQL                  |         88 |          0 |         12 |        100 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0008_phase_5_3_autonomous_workflows.sql                                                                       | MS SQL                  |         85 |          0 |         16 |        101 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0009_phase_6_engineering_integrations.sql                                                                     | MS SQL                  |         98 |          0 |         12 |        110 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0010_phase_7_multi_agent_engineering.sql                                                                      | MS SQL                  |        144 |          0 |         17 |        161 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0011_phase_8_cognitive_memory.sql                                                                             | MS SQL                  |        170 |          0 |         21 |        191 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0012_phase_9_intelligence_infrastructure.sql                                                                  | MS SQL                  |        134 |          0 |         21 |        155 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0013_phase_10_engineering_advisor.sql                                                                         | MS SQL                  |        213 |          0 |         30 |        243 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0014_phase_10_5_dynamic_agent_workforce.sql                                                                   | MS SQL                  |        164 |          0 |         22 |        186 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0015_phase_10_6_agent_os.sql                                                                                  | MS SQL                  |        168 |          0 |         21 |        189 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0016_phase_10_7_agent_cognition.sql                                                                           | MS SQL                  |        218 |          0 |         27 |        245 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0017_phase_10_8_agent_evolution.sql                                                                           | MS SQL                  |        164 |          0 |         17 |        181 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0018_phase_10_9_agent_society.sql                                                                             | MS SQL                  |        200 |          0 |         29 |        229 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0019_phase_11_intent_execution_engine.sql                                                                     | MS SQL                  |        110 |          0 |         16 |        126 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0020_phase_12_autonomous_task_engine.sql                                                                      | MS SQL                  |        169 |          0 |         22 |        191 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0021_phase_13_desktop_capability_layer.sql                                                                    | MS SQL                  |        110 |          0 |         14 |        124 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0022_phase_14_spatial_interaction_system.sql                                                                  | MS SQL                  |        115 |          0 |         32 |        147 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0023_phase_14b_native_spatial_runtime.sql                                                                     | MS SQL                  |         83 |          0 |         22 |        105 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0024_phase_14c_spatial_ui_framework.sql                                                                       | MS SQL                  |         64 |          0 |         15 |         79 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0025_phase_14d_spatial_interaction_engine.sql                                                                 | MS SQL                  |         62 |          0 |         17 |         79 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0026_phase_14e_spatial_desktop_layer.sql                                                                      | MS SQL                  |         98 |          0 |         12 |        110 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0027_phase_14f_spatial_command_space.sql                                                                      | MS SQL                  |         98 |          0 |         14 |        112 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0028_phase_15a_voice_operating_system.sql                                                                     | MS SQL                  |        101 |          0 |         19 |        120 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0029_phase_15b_conversational_intelligence.sql                                                                | MS SQL                  |         97 |          0 |         18 |        115 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0030_phase_16_intent_recording.sql                                                                            | MS SQL                  |        138 |          0 |         20 |        158 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0031_phase_16b_semantic_retrieval.sql                                                                         | MS SQL                  |        189 |          0 |         25 |        214 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0032_phase_17a_semantic_desktop_model.sql                                                                     | MS SQL                  |        130 |          0 |         20 |        150 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0033_phase_17b_semantic_desktop_navigation.sql                                                                | MS SQL                  |        109 |          0 |         16 |        125 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0034_phase_17c_semantic_interaction_engine.sql                                                                | MS SQL                  |        131 |          0 |         18 |        149 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0035_phase_17d_demonstration_learning.sql                                                                     | MS SQL                  |        128 |          0 |         18 |        146 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0036_phase_17e_universal_application_adapters.sql                                                             | MS SQL                  |        134 |          0 |         23 |        157 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0037_phase_17f_autonomous_desktop_skills.sql                                                                  | MS SQL                  |        138 |          0 |         23 |        161 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0038_phase_17g_reviewed_native_provider_runtime.sql                                                           | MS SQL                  |        124 |          0 |         24 |        148 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0039_phase_17g_provider_schema_compatibility.sql                                                              | MS SQL                  |         13 |          0 |          6 |         19 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0040_phase_17i_native_execution_request_compatibility.sql                                                     | MS SQL                  |         14 |          0 |          2 |         16 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0041_phase_18a_application_intelligence.sql                                                                   | MS SQL                  |        108 |          0 |         16 |        124 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0042_phase_18b_workspace_intelligence.sql                                                                     | MS SQL                  |        122 |          0 |         20 |        142 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0043_phase_18c_deep_semantic_indexers.sql                                                                     | MS SQL                  |        115 |          0 |         18 |        133 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0044_phase_18d_adapter_sdk.sql                                                                                | MS SQL                  |         93 |          0 |         14 |        107 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0045_phase_18e_core_adapter_suite.sql                                                                         | MS SQL                  |         87 |          0 |         14 |        101 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0046_phase_18f_cross_application_workflows.sql                                                                | MS SQL                  |        114 |          0 |         20 |        134 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0047_phase_19a_personality_human_understanding.sql                                                            | MS SQL                  |        265 |          0 |         29 |        294 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0048_phase_19a_part2_personality_core.sql                                                                     | MS SQL                  |        100 |          0 |         13 |        113 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0049_phase_19a_part3_personality_corpus.sql                                                                   | MS SQL                  |         40 |          0 |          6 |         46 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0050_phase_19b_personal_knowledge_graph.sql                                                                   | MS SQL                  |        197 |          0 |         24 |        221 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0051_phase_19c_learning_engine.sql                                                                            | MS SQL                  |        110 |          0 |         16 |        126 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0052_phase_19d_memory_studio.sql                                                                              | MS SQL                  |         44 |          0 |          8 |         52 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0053_phase_20b_ai_provider_registry.sql                                                                       | MS SQL                  |         69 |          0 |          6 |         75 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0054_phase_20d_ai_economics.sql                                                                               | MS SQL                  |         85 |          0 |          7 |         92 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0055_phase_20f_ai_benchmarks.sql                                                                              | MS SQL                  |         46 |          0 |          5 |         51 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0056_phase_20r_b_durable_ai_economics.sql                                                                     | MS SQL                  |         62 |          0 |         13 |         75 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0057_phase_20r_e_durable_ai_benchmarks.sql                                                                    | MS SQL                  |         30 |          0 |          6 |         36 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0058_phase_20r_f3_transactional_override_grants.sql                                                           | MS SQL                  |         20 |          0 |          5 |         25 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0059_application_discovery_installations.sql                                                                  | MS SQL                  |         18 |          0 |          3 |         21 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0060_phase_21a_conversation_feedback.sql                                                                      | MS SQL                  |         14 |          0 |          2 |         16 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0061_phase_21b_executive.sql                                                                                  | MS SQL                  |          9 |          0 |          1 |         10 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0062_phase_21b_objectives_risks.sql                                                                           | MS SQL                  |          3 |          0 |          1 |          4 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0063_phase_21b_history_alerts.sql                                                                             | MS SQL                  |          3 |          0 |          1 |          4 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0064_phase_21c_reflection.sql                                                                                 | MS SQL                  |          8 |          0 |          1 |          9 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0065_phase_21d_skill_evolution.sql                                                                            | MS SQL                  |          9 |          0 |          2 |         11 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0066_phase_22_3_conversation_continuity.sql                                                                   | MS SQL                  |         11 |          0 |          2 |         13 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0067_phase_22_3_continuity_turn_claims.sql                                                                    | MS SQL                  |         20 |          0 |          4 |         24 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0068_phase_22_3_continuity_upgrade_repair.sql                                                                 | MS SQL                  |         20 |          0 |          4 |         24 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0069_phase_22_5_capability_studio.sql                                                                         | MS SQL                  |         10 |          0 |          2 |         12 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0070_phase_23_1_agent_economy.sql                                                                             | MS SQL                  |         55 |          0 |          7 |         62 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0071_phase_23_2_agent_workforce.sql                                                                           | MS SQL                  |         11 |          0 |          2 |         13 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0072_phase_23_3_workforce_runtime.sql                                                                         | MS SQL                  |         21 |          0 |          3 |         24 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0073_phase_23_4_objective_engine.sql                                                                          | MS SQL                  |          7 |          0 |          1 |          8 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0074_phase_23_5_experiments.sql                                                                               | MS SQL                  |         10 |          0 |          1 |         11 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0075_phase_23_6_business_operations.sql                                                                       | MS SQL                  |         72 |          0 |          7 |         79 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0076_phase_24_5_notifications.sql                                                                             | MS SQL                  |         28 |          0 |          3 |         31 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0077_phase_24_6_cross_device_execution.sql                                                                    | MS SQL                  |         28 |          0 |          2 |         30 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0078_phase_25_1_multi_company_tenancy.sql                                                                     | MS SQL                  |        308 |          5 |         26 |        339 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/migrations/0079_phase_25_2_dynamic_specialist_lifecycle.sql                                                              | MS SQL                  |         14 |          2 |          4 |         20 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/package.json                                                                                                             | JSON                    |        103 |          0 |          1 |        104 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/active-context/service.test.ts                                                                                       | TypeScript              |        269 |          0 |         21 |        290 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/active-context/service.ts                                                                                            | TypeScript              |        318 |          0 |         15 |        333 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/adapter-sdk/postgres-store.ts                                                                                        | TypeScript              |        173 |          0 |          6 |        179 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/adapter-sdk/service.test.ts                                                                                          | TypeScript              |        144 |          0 |          9 |        153 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/adapter-sdk/service.ts                                                                                               | TypeScript              |        419 |          0 |         16 |        435 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/adapter-sdk/store.ts                                                                                                 | TypeScript              |        127 |          0 |          6 |        133 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/advisor/postgres-store.ts                                                                                            | TypeScript              |        386 |          0 |         29 |        415 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/advisor/service.test.ts                                                                                              | TypeScript              |        119 |          0 |         11 |        130 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/advisor/service.ts                                                                                                   | TypeScript              |        611 |          0 |         25 |        636 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/advisor/store.ts                                                                                                     | TypeScript              |        237 |          0 |         31 |        268 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-cognition/postgres-store.ts                                                                                    | TypeScript              |        442 |          0 |         31 |        473 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-cognition/service.test.ts                                                                                      | TypeScript              |        102 |          0 |          9 |        111 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-cognition/service.ts                                                                                           | TypeScript              |        538 |          0 |         17 |        555 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-cognition/store.ts                                                                                             | TypeScript              |        238 |          0 |         32 |        270 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-economy/postgres-store.test.ts                                                                                 | TypeScript              |         33 |          0 |          6 |         39 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-economy/postgres-store.ts                                                                                      | TypeScript              |        223 |          0 |         28 |        251 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-economy/service.test.ts                                                                                        | TypeScript              |        163 |          0 |         19 |        182 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-economy/service.ts                                                                                             | TypeScript              |        334 |          0 |         24 |        358 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-economy/store.ts                                                                                               | TypeScript              |        252 |          0 |         25 |        277 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-evolution/postgres-store.ts                                                                                    | TypeScript              |        323 |          0 |         27 |        350 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-evolution/service.test.ts                                                                                      | TypeScript              |        109 |          0 |          9 |        118 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-evolution/service.ts                                                                                           | TypeScript              |        525 |          0 |         23 |        548 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-evolution/store.ts                                                                                             | TypeScript              |        204 |          0 |         25 |        229 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-society/postgres-store.ts                                                                                      | TypeScript              |        427 |          0 |          6 |        433 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-society/service.test.ts                                                                                        | TypeScript              |        127 |          0 |          9 |        136 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-society/service.ts                                                                                             | TypeScript              |        523 |          0 |         20 |        543 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-society/store.ts                                                                                               | TypeScript              |        301 |          0 |          6 |        307 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-workforce/catalog.ts                                                                                           | TypeScript              |        126 |          0 |         11 |        137 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-workforce/postgres-store.ts                                                                                    | TypeScript              |         22 |          0 |          2 |         24 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-workforce/service.test.ts                                                                                      | TypeScript              |        150 |          0 |         15 |        165 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-workforce/service.ts                                                                                           | TypeScript              |        266 |          0 |         21 |        287 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agent-workforce/store.ts                                                                                             | TypeScript              |         23 |          0 |          3 |         26 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agents/builtins.ts                                                                                                   | TypeScript              |        104 |          0 |          4 |        108 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agents/factory.test.ts                                                                                               | TypeScript              |        126 |          0 |         14 |        140 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agents/factory.ts                                                                                                    | TypeScript              |        728 |          0 |         28 |        756 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agents/os-postgres-store.ts                                                                                          | TypeScript              |        372 |          0 |         30 |        402 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agents/os-service.test.ts                                                                                            | TypeScript              |         94 |          0 |          9 |        103 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agents/os-service.ts                                                                                                 | TypeScript              |        781 |          0 |         36 |        817 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agents/os-store.ts                                                                                                   | TypeScript              |        220 |          0 |         32 |        252 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agents/postgres-store.ts                                                                                             | TypeScript              |        466 |          0 |         37 |        503 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agents/service.test.ts                                                                                               | TypeScript              |         84 |          0 |          8 |         92 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agents/service.ts                                                                                                    | TypeScript              |        288 |          0 |         12 |        300 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/agents/store.ts                                                                                                      | TypeScript              |        303 |          0 |         39 |        342 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/active-request-registry.ts                                                                                        | TypeScript              |         59 |          1 |          4 |         64 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/benchmark/corpus.ts                                                                                               | TypeScript              |        289 |          0 |         18 |        307 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/benchmark/postgres-store.ts                                                                                       | TypeScript              |        155 |          0 |          5 |        160 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/benchmark/postgres.integration.test.ts                                                                            | TypeScript              |         75 |          0 |          5 |         80 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/benchmark/production-executor.ts                                                                                  | TypeScript              |        115 |          0 |          4 |        119 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/benchmark/service.test.ts                                                                                         | TypeScript              |        128 |          0 |         12 |        140 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/benchmark/service.ts                                                                                              | TypeScript              |        340 |          0 |          8 |        348 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/benchmark/store.ts                                                                                                | TypeScript              |         96 |          2 |          4 |        102 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/bootstrap.ts                                                                                                      | TypeScript              |         66 |          0 |          3 |         69 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/context/service.test.ts                                                                                           | TypeScript              |         25 |          1 |          5 |         31 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/context/service.ts                                                                                                | TypeScript              |        913 |          0 |         22 |        935 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/context/sources.ts                                                                                                | TypeScript              |      1,004 |          0 |         20 |      1,024 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/economics/errors.ts                                                                                               | TypeScript              |          7 |          0 |          2 |          9 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/economics/override-digest.ts                                                                                      | TypeScript              |         15 |          0 |          3 |         18 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/economics/phase20r-b.postgres.integration.test.ts                                                                 | TypeScript              |        222 |          0 |          9 |        231 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/economics/phase20r-f3.postgres.integration.test.ts                                                                | TypeScript              |        183 |          0 |          7 |        190 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/economics/postgres-store.ts                                                                                       | TypeScript              |        630 |          0 |         26 |        656 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/economics/service.test.ts                                                                                         | TypeScript              |        339 |          0 |          9 |        348 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/economics/service.ts                                                                                              | TypeScript              |        656 |          0 |         21 |        677 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/economics/store.ts                                                                                                | TypeScript              |        467 |          0 |         20 |        487 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/embeddings/openai.ts                                                                                              | TypeScript              |         53 |          0 |          6 |         59 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/embeddings/provider.ts                                                                                            | TypeScript              |         24 |          0 |          4 |         28 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/embeddings/runtime.test.ts                                                                                        | TypeScript              |         30 |          0 |          3 |         33 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/embeddings/runtime.ts                                                                                             | TypeScript              |         56 |          0 |          9 |         65 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/errors.ts                                                                                                         | TypeScript              |         13 |          0 |          2 |         15 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/health.ts                                                                                                         | TypeScript              |         89 |          0 |          2 |         91 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/phase20r-a.integration.test.ts                                                                                    | TypeScript              |        407 |          1 |         14 |        422 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/phase20r-c.integration.test.ts                                                                                    | TypeScript              |      1,009 |          1 |         28 |      1,038 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/phase20r-c.production-sources.test.ts                                                                             | TypeScript              |        373 |          0 |          6 |        379 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/phase20r-e.load.test.ts                                                                                           | TypeScript              |         63 |          1 |          4 |         68 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/phase20r-f4.postgres.integration.test.ts                                                                          | TypeScript              |        785 |          1 |         19 |        805 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/provider.test.ts                                                                                                  | TypeScript              |        213 |          1 |         12 |        226 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/provider.ts                                                                                                       | TypeScript              |        101 |          0 |          7 |        108 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/providers/ollama.ts                                                                                               | TypeScript              |        255 |          0 |          4 |        259 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/providers/openai.ts                                                                                               | TypeScript              |        394 |          1 |          4 |        399 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/registry.ts                                                                                                       | TypeScript              |         97 |          0 |          4 |        101 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/router/complexity.ts                                                                                              | TypeScript              |         29 |          0 |          3 |         32 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/router/service.test.ts                                                                                            | TypeScript              |        181 |          1 |         13 |        195 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/router/service.ts                                                                                                 | TypeScript              |      1,011 |          0 |         20 |      1,031 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/ai/runtime-service.ts                                                                                                | TypeScript              |        236 |          0 |          3 |        239 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/app.test.ts                                                                                                          | TypeScript              |      1,227 |          0 |         58 |      1,285 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/app.ts                                                                                                               | TypeScript              |      1,757 |          1 |         14 |      1,772 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/application-adapters/postgres-store.ts                                                                               | TypeScript              |        271 |          0 |          6 |        277 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/application-adapters/service.test.ts                                                                                 | TypeScript              |        184 |          0 |         19 |        203 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/application-adapters/service.ts                                                                                      | TypeScript              |        584 |          0 |         22 |        606 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/application-adapters/store.ts                                                                                        | TypeScript              |        227 |          0 |          6 |        233 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/application-discovery/postgres-store.ts                                                                              | TypeScript              |         92 |          0 |          7 |         99 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/application-discovery/service.test.ts                                                                                | TypeScript              |        171 |          0 |         17 |        188 |
| /Users/arjunaravapalli/personalassistant/personalassistant/apps/api/src/application-discovery/service.ts                                                                                     | TypeScript              |        254 |          0 |          3 |        257 |
